Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
37,4.9,Snack ,motorcycle ,24,3.025
34,4.5,Snack ,scooter ,33,20.184
23,4.4,Drinks ,motorcycle ,26,1.553
38,4.7,Buffet ,motorcycle ,21,7.79
32,4.6,Snack ,scooter ,30,6.21
22,4.8,Buffet ,motorcycle ,26,4.61
33,4.7,Meal ,scooter ,40,16.6
35,4.6,Meal ,motorcycle ,32,20.205
22,4.8,Buffet ,motorcycle ,34,19.976
36,4.2,Snack ,motorcycle ,46,10.281
21,4.7,Meal ,motorcycle ,23,6.242
23,4.7,Drinks ,scooter ,21,13.788
34,4.3,Buffet ,motorcycle ,20,2.93
24,4.7,Snack ,scooter ,41,19.397
29,4.5,Buffet ,electric_scooter ,20,13.764
35,4,Meal ,scooter ,33,6.218
33,4.2,Snack ,motorcycle ,40,16.85
34,4.9,Snack ,motorcycle ,41,10.757
21,4.7,Meal ,motorcycle ,15,4.541
25,4.1,Snack ,motorcycle ,36,12.256
31,4.7,Meal ,electric_scooter ,26,19.619
37,5,Snack ,motorcycle ,20,1.558
33,4.3,Meal ,scooter ,39,20.181
25,4,Buffet ,motorcycle ,34,6.117
29,4.5,Meal ,electric_scooter ,15,17.076
27,5,Snack ,motorcycle ,18,4.47
35,4.3,Drinks ,scooter ,38,13.682
32,4,Buffet ,motorcycle ,47,13.973
23,4.8,Buffet ,electric_scooter ,12,16.854
31,4.8,Drinks ,motorcycle ,26,4.674
36,4.1,Drinks ,motorcycle ,22,7.602
26,4.3,Buffet ,motorcycle ,21,7.72
38,4.9,Drinks ,scooter ,25,6.176
32,3.5,Snack ,scooter ,35,17.298
32,4.6,Drinks ,scooter ,30,19.915
33,4.9,Snack ,motorcycle ,22,10.725
20,4.7,Snack ,scooter ,10,6.128
20,4.8,Meal ,scooter ,19,1.52
35,5,Snack ,scooter ,11,3.073
26,4.9,Buffet ,scooter ,11,3.105
22,4.8,Snack ,motorcycle ,28,10.867
35,4.3,Snack ,motorcycle ,33,10.865
29,4.6,Drinks ,scooter ,33,12.237
37,4.7,Snack ,motorcycle ,52,13.683
28,4.6,Snack ,scooter ,22,16.826
37,4.9,Snack ,scooter ,16,3.027
23,4.9,Drinks ,electric_scooter ,11,9.175
27,4.9,Drinks ,scooter ,25,9.315
37,4.8,Drinks ,motorcycle ,26,6.209
33,5,Snack ,scooter ,18,1.52
31,4.9,Snack ,motorcycle ,16,6.037
31,4.8,Drinks ,scooter ,23,17.079
25,5,Snack ,motorcycle ,15,4.718
28,4.8,Drinks ,motorcycle ,36,12.464
31,4.7,Snack ,motorcycle ,16,9.121
24,4.7,Buffet ,motorcycle ,19,14.023
39,4.6,Snack ,motorcycle ,27,13.393
39,4.2,Snack ,scooter ,49,12.58
32,4.5,Buffet ,scooter ,20,1.49
36,4.7,Snack ,motorcycle ,30,9.435
25,4.8,Drinks ,scooter ,18,11.917
33,4.9,Drinks ,scooter ,22,4.664
30,4.4,Drinks ,scooter ,34,10.641
33,5,Buffet ,motorcycle ,24,16.818
36,4.9,Drinks ,scooter ,17,6.129
21,4.8,Meal ,electric_scooter ,14,2.996
39,4.9,Meal ,motorcycle ,30,7.342
23,4.8,Meal ,scooter ,15,3.145
35,4.8,Buffet ,scooter ,16,6.29
39,4.6,Snack ,scooter ,36,13.972
22,4.7,Buffet ,scooter ,18,6.081
32,4.6,Meal ,scooter ,17,6.081
24,4.8,Buffet ,motorcycle ,15,12.58
29,4.7,Buffet ,motorcycle ,17,3.145
29,4.6,Drinks ,scooter ,19,6.211
26,4.7,Buffet ,motorcycle ,10,9.22
20,4.5,Drinks ,motorcycle ,27,7.863
35,4.1,Buffet ,motorcycle ,37,13.97
39,4.6,Drinks ,scooter ,44,13.973
34,4.7,Drinks ,electric_scooter ,28,6.059
27,4.7,Snack ,scooter ,42,17.078
30,4.8,Snack ,motorcycle ,25,17.298
25,4.4,Snack ,scooter ,39,17.073
25,4.7,Meal ,motorcycle ,20,16.818
30,5,Buffet ,motorcycle ,31,2.98
24,4.6,Buffet ,motorcycle ,13,9.221
39,4.8,Meal ,motorcycle ,28,7.661
25,4.8,Snack ,scooter ,19,6.176
37,4.6,Buffet ,motorcycle ,42,12.21
24,5,Drinks ,motorcycle ,23,1.553
25,4.2,Meal ,motorcycle ,39,16.903
32,4.6,Drinks ,motorcycle ,25,1.509
34,4.7,Drinks ,scooter ,15,6048.631
38,4.9,Drinks ,scooter ,15,3.025
36,4.8,Buffet ,electric_scooter ,15,13.407
25,5,Meal ,motorcycle ,15,16.722
29,5,Drinks ,motorcycle ,18,7.772
36,4.7,Drinks ,electric_scooter ,29,13.774
33,4.7,Snack ,motorcycle ,20,7.79
36,4.4,Meal ,scooter ,39,6.218
21,4.8,Snack ,motorcycle ,19,16.853
25,4.8,Snack ,scooter ,19,4.61
23,4.8,Meal ,motorcycle ,17,19.88
25,4.6,Snack ,motorcycle ,15,1.558
24,4.3,Meal ,motorcycle ,19,3.025
27,4.6,Buffet ,motorcycle ,29,13.972
23,4.8,Snack ,scooter ,22,16.831
21,4.3,Drinks ,scooter ,42,20.208
27,4.7,Snack ,scooter ,12,3.041
32,4.2,Snack ,motorcycle ,38,20.254
25,4.6,Drinks ,motorcycle ,23,16.721
39,4.7,Meal ,scooter ,15,2.985
27,4.6,Snack ,motorcycle ,24,12.161
39,3.8,Drinks ,motorcycle ,37,16.822
31,4.8,Snack ,scooter ,24,7.763
31,4.8,Buffet ,electric_scooter ,13,9.056
20,4.8,Drinks ,motorcycle ,16,1.555
36,4.9,Drinks ,motorcycle ,42,12.074
20,4.9,Meal ,motorcycle ,17,13.58
24,4.6,Drinks ,motorcycle ,25,4.47
29,4.6,Snack ,electric_scooter ,25,16.66
39,4.2,Snack ,scooter ,39,16.635
37,4.8,Meal ,scooter ,18,6.232
32,4.9,Drinks ,motorcycle ,28,6.209
22,4.5,Drinks ,scooter ,18,7.461
23,4.9,Meal ,scooter ,18,20.254
33,4.7,Snack ,scooter ,49,16.601
23,4.6,Drinks ,motorcycle ,15,4.54
27,4.6,Drinks ,motorcycle ,21,12.421
34,4.7,Snack ,scooter ,23,6.119
26,5,Meal ,scooter ,11,1.52
31,4.6,Snack ,motorcycle ,25,9.088
32,4.9,Snack ,motorcycle ,18,3.064
27,4.7,Buffet ,motorcycle ,14,3.025
21,4.9,Drinks ,motorcycle ,36,13.973
28,4.8,Drinks ,motorcycle ,18,7.763
24,4.9,Meal ,scooter ,17,6.29
33,4.4,Snack ,motorcycle ,28,1.537
20,4.6,Buffet ,motorcycle ,44,13.973
31,4.3,Snack ,motorcycle ,20,9.348
29,4.6,Snack ,scooter ,19,4.597
36,5,Snack ,motorcycle ,35,10.602
31,4.2,Meal ,motorcycle ,50,17.076
39,4.1,Meal ,scooter ,34,9.221
29,4.6,Meal ,electric_scooter ,17,12.162
29,4.6,Snack ,scooter ,23,6.081
37,4.9,Buffet ,motorcycle ,27,4.674
33,4.7,Snack ,motorcycle ,26,6.29
31,3.9,Buffet ,scooter ,35,10.709
37,4.6,Drinks ,motorcycle ,41,6.29
26,4.4,Buffet ,motorcycle ,23,9.315
24,4.6,Snack ,motorcycle ,30,17.137
23,4.8,Buffet ,scooter ,19,3.145
36,4.9,Buffet ,scooter ,27,1.573
39,4.8,Snack ,motorcycle ,28,6.218
20,4.7,Drinks ,motorcycle ,24,12.464
20,5,Meal ,motorcycle ,36,20.207
29,4.3,Buffet ,motorcycle ,28,9.081
36,4.8,Drinks ,motorcycle ,31,17.138
36,4,Meal ,motorcycle ,44,13.631
22,4.8,Drinks ,scooter ,15,12.074
38,4.4,Buffet ,motorcycle ,33,10.723
